,Store,Department,RMSE,Accuracy
690,9,46,919.86,0.8775
691,9,47,error,error
692,9,48,error,error
693,9,49,error,error
694,9,51,error,error
695,9,52,307.63,0.8198
696,9,54,error,error
697,9,55,981.21,0.8516
698,9,56,error,error
699,9,58,error,error
700,9,59,error,error
701,9,60,error,error
702,9,67,1243.72,0.6563
703,9,71,519.76,0.5368
704,9,72,6124.11,0.7819
705,9,74,1579.25,0.7947
706,9,77,error,error
707,9,78,error,error
708,9,79,1019.09,0.9207
709,9,80,error,error
710,9,81,170.86,0.9355
711,9,82,1587.57,0.8475
712,9,83,error,error
713,9,85,292.49,0.6367
714,9,87,error,error
715,9,90,417.06,0.8728
716,9,91,328.02,0.6937
717,9,92,1343.11,0.9197
718,9,93,error,error
719,9,94,error,error
720,9,95,4393.85,0.8779
721,9,96,1207.71,0.7043
722,9,97,error,error
723,9,98,error,error
724,9,99,error,error
725,9,39,error,error
726,9,50,error,error
727,9,43,error,error
728,9,65,error,error
729,10,1,18340.38,0.472
730,10,2,4584.09,0.9567
731,10,3,10690.61,0.6905
732,10,4,error,error
733,10,5,12096.5,0.7202
734,10,6,2684.63,0.6503
735,10,7,6500.56,0.8632
736,10,8,2973.56,0.9652
737,10,9,error,error
738,10,10,3029.0,0.9393
739,10,11,3201.01,0.9021
740,10,12,747.66,0.921
741,10,13,2802.65,0.9543
742,10,14,3004.93,0.9176
743,10,16,3755.61,0.8921
744,10,17,2130.94,0.9192
745,10,18,error,error
746,10,19,621.42,0.7868
747,10,20,1231.09,0.9213
748,10,21,780.37,0.9126
749,10,22,4439.79,0.8123
750,10,23,5954.35,0.908
751,10,24,4996.34,0.6521
752,10,25,1992.05,0.9025
753,10,26,2533.49,0.8317
754,10,27,438.21,0.8824
755,10,28,177.25,0.8089
756,10,29,1368.79,0.9117
757,10,30,1257.08,0.881
758,10,31,error,error
759,10,32,3024.5,0.837
760,10,33,4729.42,0.6595
761,10,34,3716.1,0.9125
762,10,35,2926.92,0.6742
763,10,36,error,error
764,10,37,454.5,0.8807
765,10,38,36451.96,0.5855
766,10,40,4425.47,0.9544
767,10,41,2164.35,0.8146
768,10,42,904.45,0.9245
769,10,44,787.47,0.9068
770,10,45,error,error
771,10,46,3204.24,0.9414
772,10,47,error,error
773,10,48,1351.21,0.5286
774,10,49,2662.3,0.8668
775,10,51,error,error
776,10,52,1105.92,0.7385
777,10,54,error,error
778,10,55,5016.21,0.6174
779,10,56,879.66,0.322
780,10,58,2013.56,0.5129
781,10,59,660.76,-1.538
782,10,60,error,error
783,10,67,3706.05,0.7014
784,10,71,5234.0,0.6592
785,10,72,error,error
786,10,74,2899.94,0.9274
787,10,77,error,error
788,10,78,error,error
789,10,79,4895.19,0.8623
790,10,80,16541.5,-48.6419
791,10,81,2000.0,0.8052
792,10,82,2585.37,0.8848
793,10,83,error,error
794,10,85,400.06,0.858
795,10,87,2988.69,0.8954
796,10,90,1555.94,0.8922
797,10,91,840.92,0.9314
798,10,92,4254.32,0.9173
799,10,93,257.87,0.7927
800,10,94,error,error
801,10,95,4909.53,0.9319
802,10,96,1287.6,0.8985
803,10,97,297.09,0.9411
804,10,98,error,error
805,10,99,error,error
806,10,39,error,error
807,10,50,error,error
808,10,43,error,error
809,10,65,error,error
810,11,1,10310.93,0.4339
811,11,2,5046.03,0.912
812,11,3,6618.29,0.6771
813,11,4,1622.45,0.9451
814,11,5,6902.65,0.7739
815,11,6,1072.15,0.7132
816,11,7,10012.25,0.6772
817,11,8,1575.0,0.956
818,11,9,2203.11,0.8906
819,11,10,2732.36,0.8897
820,11,11,2771.63,0.8408
821,11,12,566.34,0.8701
822,11,13,2373.77,0.9442
823,11,14,2299.63,0.9016
824,11,16,error,error
825,11,17,1398.32,0.889
826,11,18,error,error
827,11,19,error,error
828,11,20,1333.29,0.8697
829,11,21,807.28,0.889
830,11,22,1754.52,0.8843
831,11,23,3389.96,0.9009
832,11,24,3356.39,0.6126
833,11,25,2893.32,0.7697
834,11,26,2490.07,0.7532
835,11,27,382.05,0.8016
836,11,28,108.96,0.8487
837,11,29,1067.69,0.872
838,11,30,941.39,0.8518
839,11,31,650.75,0.7542
840,11,32,1961.01,0.7905
841,11,33,1958.82,0.7588
842,11,34,3618.72,0.8463
843,11,35,1669.99,0.6399
844,11,36,1057.74,0.6762
845,11,37,416.95,0.8987
846,11,38,9516.69,0.8626
