,Store,Department,RMSE,Actual Average Weekly Sales,Accuracy,LM Used
245,4,3,4063.4,29962.65,0.8644,lm-3
246,4,4,2378.51,58793.93,0.9595,lm-1
247,4,5,7217.18,36815.23,0.804,lm-1
248,4,6,1727.15,6494.42,0.7341,lm-2
249,4,7,6681.98,46005.04,0.8548,lm-1
250,4,8,1722.1,60758.86,0.9717,lm-3
251,4,9,4582.71,39526.34,0.8841,lm-3
252,4,10,4199.84,40189.44,0.8955,lm-3
253,4,11,5228.13,26215.43,0.8006,lm-1
254,4,12,739.16,8067.45,0.9084,lm-3
255,4,13,2576.21,74475.91,0.9654,lm-3
256,4,14,1951.63,27465.84,0.9289,lm-3
257,4,16,2894.17,18847.35,0.8464,lm-1
258,4,17,1794.22,15424.53,0.8837,lm-1
259,4,18,1579.54,7246.51,0.782,lm-3
260,4,19,433.35,2278.11,0.8098,lm-3
261,4,20,895.33,9633.58,0.9071,lm-2
262,4,21,664.23,7758.67,0.9144,lm-3
263,4,22,1848.42,18479.91,0.9,lm-1
264,4,23,9130.57,47255.27,0.8068,lm-1
265,4,24,1920.38,11866.61,0.8382,lm-1
266,4,25,2583.41,15158.38,0.8296,lm-3
267,4,26,2226.19,18333.84,0.8786,lm-1
268,4,27,441.89,2388.32,0.815,lm-1
269,4,28,142.47,667.46,0.7865,lm-3
270,4,29,1121.77,9814.89,0.8857,lm-1
271,4,30,1207.58,6893.78,0.8248,lm-1
272,4,31,1788.08,5044.4,0.6455,lm-3
273,4,32,3021.32,11536.84,0.7381,lm-3
274,4,33,1781.03,13621.0,0.8692,lm-3
275,4,34,3064.51,26861.43,0.8859,lm-1
276,4,35,606.69,3937.0,0.8459,lm-1
277,4,36,1050.66,3309.65,0.6825,lm-1
278,4,37,915.91,3116.51,0.7061,lm-1
279,4,38,9136.51,74950.79,0.8781,lm-1
280,4,40,3146.2,80724.87,0.961,lm-1
281,4,41,839.75,1891.1,0.5559,lm-1
282,4,42,1008.52,10287.49,0.902,lm-1
283,4,44,851.57,5471.3,0.8444,lm-2
284,4,45,3.95,10.47,0.6224,lm-1
285,4,46,4279.55,38400.59,0.8886,lm-1
286,4,47,error,error,error,error
287,4,48,1752.68,3260.79,0.4625,lm-1
288,4,49,1203.35,6887.0,0.8253,lm-2
289,4,51,5.37,8.41,0.3622,lm-2
290,4,52,1435.92,3107.43,0.5379,lm-1
291,4,54,35.92,36.2,0.0078,lm-3
292,4,55,3430.37,13700.53,0.7496,lm-1
293,4,56,914.9,1503.36,0.3914,lm-1
294,4,58,1862.14,3188.68,0.416,lm-2
295,4,59,136.57,425.71,0.6792,lm-1
296,4,60,88.4,341.51,0.7412,lm-3
297,4,67,790.16,10879.95,0.9274,lm-3
298,4,71,1533.81,7680.84,0.8003,lm-3
299,4,72,19698.49,94448.61,0.7914,lm-1
300,4,74,2405.32,20369.35,0.8819,lm-3
301,4,77,error,error,error,error
302,4,78,error,error,error,error
303,4,79,2527.23,54857.67,0.9539,lm-3
304,4,80,1391.49,20084.48,0.9307,lm-3
305,4,81,1137.42,33316.8,0.9659,lm-2
306,4,82,5245.79,31595.24,0.834,lm-3
307,4,83,996.39,9813.52,0.8985,lm-1
308,4,85,559.92,2446.21,0.7711,lm-1
309,4,87,1490.15,16853.53,0.9116,lm-1
310,4,90,4219.3,94025.42,0.9551,lm-1
311,4,91,3924.89,68602.91,0.9428,lm-2
312,4,92,10920.9,170675.4,0.936,lm-1
313,4,93,4432.97,75378.19,0.9412,lm-2
314,4,94,4045.45,74853.06,0.946,lm-1
315,4,95,12053.65,162368.74,0.9258,lm-1
316,4,96,3651.23,45245.6,0.9193,lm-1
317,4,97,1924.15,42087.38,0.9543,lm-3
318,4,98,1106.5,15159.27,0.927,lm-1
319,4,99,1002.81,134.7,-6.4449,lm-1
320,4,39,error,error,error,error
321,4,50,error,error,error,error
322,4,43,error,error,error,error
323,4,65,error,error,error,error
324,5,1,317.46,9965.39,0.9681,lm-2
325,5,2,643.55,12534.89,0.9487,lm-3
326,5,3,3194.1,5359.22,0.404,lm-2
327,5,4,456.09,10116.01,0.9549,lm-2
328,5,5,1133.32,5282.68,0.7855,lm-1
329,5,6,347.0,616.45,0.4371,lm-1
330,5,7,1140.79,5274.85,0.7837,lm-2
331,5,8,772.93,14345.56,0.9461,lm-1
332,5,9,1807.79,9504.15,0.8098,lm-1
333,5,10,1086.2,10259.69,0.8941,lm-3
334,5,11,1293.15,7619.74,0.8303,lm-2
335,5,12,346.13,2755.95,0.8744,lm-3
336,5,13,605.27,11434.96,0.9471,lm-3
337,5,14,670.94,3072.18,0.7816,lm-3
338,5,16,1167.32,6602.77,0.8232,lm-1
339,5,17,391.67,2338.29,0.8325,lm-2
340,5,18,269.75,1009.52,0.7328,lm-1
341,5,19,17.73,27.4,0.353,lm-1
342,5,20,246.02,1118.39,0.78,lm-1
343,5,21,133.41,1150.2,0.884,lm-1
344,5,22,612.27,2216.91,0.7238,lm-1
345,5,23,739.02,5897.08,0.8747,lm-1
346,5,24,976.37,1523.3,0.359,lm-1
347,5,25,353.23,2743.33,0.8712,lm-1
348,5,26,450.64,1427.53,0.6843,lm-3
349,5,27,107.62,362.92,0.7035,lm-1
350,5,28,32.33,145.49,0.7778,lm-1
351,5,29,124.03,1014.3,0.8777,lm-1
352,5,30,158.25,839.58,0.8115,lm-3
353,5,31,380.95,788.96,0.5171,lm-1
354,5,32,586.34,2120.82,0.7235,lm-3
355,5,33,572.25,1744.98,0.6721,lm-1
356,5,34,622.99,3238.13,0.8076,lm-1
357,5,35,313.25,674.6,0.5356,lm-1
358,5,36,177.0,424.31,0.5829,lm-3
359,5,37,error,error,error,error
360,5,38,6416.76,58677.09,0.8906,lm-3
361,5,40,1299.66,19533.67,0.9335,lm-1
362,5,41,332.9,950.85,0.6499,lm-2
363,5,42,340.95,2933.22,0.8838,lm-1
364,5,44,316.53,1368.95,0.7688,lm-2
365,5,45,error,error,error,error
366,5,46,390.62,4506.89,0.9133,lm-3
367,5,47,error,error,error,error
368,5,48,error,error,error,error
369,5,49,21.82,38.66,0.4355,lm-1
